file,task_id,dataset_id,name,decision,primary_reason,evidence_url,review_note,summary_category
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,168336,41162,kick,blocked,canonical_source_license_and_timing_unverified,,"OpenML points to a third-party Kaggle mirror; the original Carvana competition grant, exact version, and prediction-time availability are not established.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,168910,41164,fabert,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,168911,41143,jasmine,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,189773,41671,microaggregation2,blocked,canonical_generator_provenance_and_license_unverified,,Only an opaque microaggregation name and generic OpenML licence assertion are available.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,190392,41144,madeline,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,190410,41145,philippine,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,211716,42193,compas-two-years,blocked,dataset_license_grant_unverified,https://github.com/propublica/compas-analysis,The repository documents provenance but does not supply an explicit reusable licence for the dataset.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,211718,42343,KDD98,blocked,nonstandard_use_conditions_require_external_compliance,https://kdd.ics.uci.edu/databases/kddcup98/kddcup98.html,"The official KDD Cup page imposes notification, copying, and sponsor-disclosure conditions beyond a standard reusable data licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,211979,41168,jannis,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3543,451,irish,blocked,source_and_license_unverified,http://lib.stat.cmu.edu/datasets/irish.ed,The frozen record points only to a legacy StatLib file; source unit and licence are not documented.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3561,470,profb,blocked,license_unverified,http://lib.stat.cmu.edu/datasets/profb,Public availability is not an explicit redistribution licence; repeated-team dependence also needs a split rule.,Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3588,722,pol,blocked,canonical_source_target_and_license_unverified,https://www.openml.org/d/722,"The transformed release does not identify the original target, source, or dataset-specific licence.",Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3591,725,bank8FM,blocked,canonical_generator_and_license_unverified,https://www.openml.org/d/725,The frozen metadata gives Unknown source and generic Public status only.,Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3593,727,2dplanes,blocked,canonical_generator_and_license_unverified,https://www.openml.org/d/727,The frozen metadata identifies neither the canonical generator nor a dataset-specific licence.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359972,41146,sylvine,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359984,41169,helena,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359985,41166,volkert,blocked,source_and_license_unverified,https://automl.chalearn.org/data,"Official page provides a download but not source identity, sample unit, or explicit reuse licence.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359991,41162,kick,blocked,license_unverified,https://www.kaggle.com/competitions/DontGetKicked/data,OpenML's CC0 label is not backed by an explicit licence from the original competition source.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359993,42734,okcupid-stem,blocked,license_unverified,https://github.com/rudeboybert/JSE_OkCupid,"Source states OkCupid granted use permission, but the exact 50,789-row/19-feature derivative and redistribution licence are not documented.",Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,361276,45019,Bioresponse,blocked,original_dataset_license_unverified,https://www.openml.org/d/45019,A Kaggle-derived upload with no verified original dataset licence grant.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,361637,45547,Cardiovascular-Disease-dataset,blocked,provenance_and_license_unknown,https://www.openml.org/d/45547,Official metadata does not establish canonical provenance or a dataset-specific licence.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,361640,45548,Otto-Group-Product-Classification-Challenge,blocked,license_unknown,https://www.openml.org/d/45548,The official dataset metadata reports an unknown licence.,Provenance/license
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,361650,45545,Tour-and-Travels-Customer-Churn-Prediction,blocked,original_collection_and_license_grant_unverified,https://www.openml.org/d/45545,Described only as practice/mini-hackathon data.,Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,362170,46371,Customer_Churn_Classification_Nominal,blocked,canonical_source_collection_and_license_unverified,,"The customer source, collection process, and dataset-specific grant are not established; surname-derived fields add identity/text concerns.",Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,362215,46431,HMEQ_Data,blocked,original_source_and_license_unverified,https://www.openml.org/d/46431,The derivative upload does not establish the original HMEQ collection and licence.,Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,362345,43255,1StudentPerfromance,blocked,canonical_source_collection_and_license_unverified,,"A minimal StudentPerformance heading does not establish origin, collection, or a dataset-specific grant.",Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,362349,43325,Birds,blocked,canonical_source_semantics_and_license_unverified,,The MINI Birds fields are opaque and canonical origin/licensing is not auditable.,Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,362377,43595,Loan-Predication,blocked,canonical_source_collection_and_license_unverified,,A plausible row structure is insufficient without an auditable canonical source and dataset-specific reuse grant.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,362562,44226,NewspaperChurn,blocked,origin_and_license_unverified,https://www.openml.org/d/44226,Canonical origin and a dataset-specific licence are not established.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,363088,45553,FICO-HELOC-cleaned,blocked,custom_license_scope_unresolved,https://www.openml.org/d/45553,Metadata reports conflicting unknown/custom licence scope.,Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,363143,45927,Products,blocked,canonical_source_license_and_sample_grain_unverified,,Generic 'Publicly available' status is not a reuse licence and the product sampling unit is undocumented.,Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3672,807,kin8nm,blocked,explicit_dataset_license_absent,https://www.cs.toronto.edu/~delve/data/kin/desc.html,DELVE documents the simulated kin family and cases but gives no explicit reusable dataset licence on the source page.,Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3681,816,puma8NH,blocked,explicit_dataset_license_absent,https://www.cs.toronto.edu/~delve/data/pumadyn/desc.html,"The simulated robot-arm source is auditable, but no explicit reusable dataset licence is established.",Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3760,897,colleges_aaup,blocked,canonical_source_target_and_license_unverified,https://www.openml.org/d/897,"One college per row is plausible, but the original target and a dataset-specific reuse licence are not established.",Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3793,930,colleges_usnews,blocked,canonical_source_and_dataset_license_unverified,https://www.openml.org/d/930,"One college per row is plausible, but the frozen metadata names no canonical source and supplies only generic Public status.",Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3877,1014,analcatdata_dmft,blocked,collection_grain_target_and_license_unverified,https://www.openml.org/d/1014,"The dental collection unit, binary relabeling target, and dataset-specific licence are not established.",Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3889,1036,sylva_agnostic,blocked,license_unverified,https://www.causality.inf.ethz.ch/al_data/SYLVA.html,Official challenge documentation identifies the source and composite patterns but gives no reusable licence.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3896,1043,ada_agnostic,blocked,source_and_license_unverified,https://www.agnostic.inf.ethz.ch/datasets.php,Challenge availability and OpenML 'Public' do not establish an explicit licence or sample unit.,Provenance/license
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3946,1112,KDDCup09_churn,blocked,license_unverified,https://kdd.org/kdd-cup/view/kdd-cup-2009/Rules,Official rules describe participant access but do not grant a general redistribution licence.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,3948,1114,KDDCup09_upselling,blocked,canonical_source_license_unverified,https://www.openml.org/d/1114,Canonical source and dataset-specific reusable licence remain unverified.,Provenance/license
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,9909,1547,autoUniv-au1-1000,blocked,dataset_specific_license_unverified,https://www.openml.org/d/1547,Generic OpenML Public metadata does not establish a dataset-specific licence grant.,Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,9943,1507,twonorm,blocked,explicit_dataset_license_absent,https://www.cs.toronto.edu/~delve/data/twonorm/desc.html,"DELVE documents 7,400 artificial cases and the generator, but the page does not grant an explicit reusable dataset licence.",Provenance/license
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,9959,1496,ringnorm,blocked,explicit_dataset_license_absent,https://www.cs.toronto.edu/~delve/data/ringnorm/desc.html,"DELVE documents 7,400 artificial cases and the generator, but the page does not grant an explicit reusable dataset licence.",Provenance/license
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,363633,46925,Employee,blocked,canonical_collection_and_generation_provenance_unverified,,The Kaggle pointer and CC0 assertion do not establish the underlying employee collection or whether records are synthetic.,Synthetic/dependence
openml_active_classification_pool__source_review__source_license_independence_review.csv,362453,43974,MiniBooNE,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/199/miniboone+particle+identification,OpenML provides a class-balanced subset without duplicated resampling; UCI defines one particle event per row.,Duplicate/source overlap
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363661,46955,SDSS17,eligible,passed_all_gates,https://www.sdss4.org/collaboration/,SDSS public-domain data; TabArena removed duplicate obj_ID rows and ID-like metadata.,Duplicate/source overlap
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363428,46720,OSMI_Mental_Health_in_Tech_Survey,eligible,passed_all_gates,https://osmhhelp.org/research.html,One 2016 survey response per respondent; OSMI publishes the raw survey under CC BY-SA 4.0.,Non-IID/grouped units
combined_source_review__provisionally_eligible.csv,10101,1464,blood-transfusion-service-center,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center,,Other unresolved
combined_source_review__provisionally_eligible.csv,11,11,balance-scale,eligible,permissive_cc_by_4_0,http://archive.ics.uci.edu/ml/datasets/balance+scale,,Other unresolved
expanded_candidate_source_review__candidate_source_license_independence_review.csv,125921,40496,LED-display-domain-7digit,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/57/led+display+domain,UCI documents a seven-attribute noisy data generator and CC BY 4.0.,Other unresolved
combined_source_review__provisionally_eligible.csv,146195,40668,connect-4,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/Connect-4,,Other unresolved
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,146819,40994,climate-model-simulation-crashes,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/252/climate+model+simulation+crashes,Use v4: study/run identifiers are deactivated; each row is one Latin-hypercube simulation.,Other unresolved
combined_source_review__provisionally_eligible.csv,146821,40975,car,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/car+evaluation,,Other unresolved
combined_source_review__provisionally_eligible.csv,14954,6332,cylinder-bands,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/32/cylinder+bands,,Other unresolved
combined_source_review__provisionally_eligible.csv,23,23,cmc,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,,Other unresolved
expanded_candidate_source_review__candidate_source_license_independence_review.csv,24,24,mushroom,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/73/mushroom,"UCI documents 8,124 hypothetical mushroom records and CC BY 4.0.",Other unresolved
combined_source_review__provisionally_eligible.csv,29,29,credit-approval,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/credit+approval,,Other unresolved
combined_source_review__provisionally_eligible.csv,3,3,kr-vs-kp,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/Chess+(King-Rook+vs.+King-Pawn),,Other unresolved
combined_source_review__provisionally_eligible.csv,3021,38,sick,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/thyroid+disease,,Other unresolved
combined_source_review__provisionally_eligible.csv,31,31,credit-g,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data),,Other unresolved
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3492,333,monks-problems-1,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/70/monk+s+problems,Representative retained for the single MONK source domain.,Other unresolved
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,361642,42178,telco-customer-churn,eligible,passed_with_identifier_sanitation,https://github.com/IBM/telco-customer-churn-on-icp4d,The IBM repository supplies the exact dataset and Apache-2.0 terms; one customer per row and customerID is already ignored by OpenML.,Other unresolved
openml_active_classification_pool__source_review__source_license_independence_review.csv,361677,45558,Pulsar-Dataset-HTRU2,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/372/htru2,"UCI states that candidates occupy separate rows; the task uses eight tabular summary variables, not raw signal arrays.",Other unresolved
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,362459,43980,wine,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/186/wine+quality,One physicochemical/sensory record per wine sample; the canonical UCI release is CC BY 4.0.,Other unresolved
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363229,46173,King-rook-vs-King,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/23/chess+king+rook+vs+king,Complete enumerated KRK positions; distinct original domain from the already-approved KR-vs-KP database.,Other unresolved
openml_active_classification_pool__source_review__source_license_independence_review.csv,363402,46584,Student_Performance_on_an_Entrance_Examination,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/582/student+performance+on+an+entrance+examination,UCI describes candidates who qualified in one examination year; each row is a candidate record.,Other unresolved
openml_active_classification_pool__source_review__source_license_independence_review.csv,363441,46733,diabetes_risk_prediction_dataset,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/529/early+stage+diabetes+risk+prediction+dataset,The OpenML copy traces to the UCI patient-questionnaire dataset; UCI documents 520 hospital patients.,Other unresolved
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,363462,46764,football-player-position,eligible,passed_all_gates,https://github.com/TRR318/pub-msl,The originating paper and repository introduce the dataset; one active professional player per row with career aggregates and a single primary position.,Other unresolved
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363543,46827,QSAR_Bioconcentration_classification,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/510/qsar+bioconcentration+classes+dataset,One chemically distinct compound per row; logBCF is not retained as a predictor.,Other unresolved
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363555,46846,glioma_grading_clinical_and_mutation_features,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/759/glioma+grading+clinical+and+mutation+features+dataset,"One patient per row; Case_ID, Project, and Primary_Diagnosis removed by the documented preprocessing.",Other unresolved
combined_source_review__provisionally_eligible.csv,363616,46908,APSFailure,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5V60Q,,Other unresolved
combined_source_review__provisionally_eligible.csv,363623,46915,churn,eligible,permissive_mit,https://www.openml.org/d/40701,,Other unresolved
combined_source_review__provisionally_eligible.csv,363624,46916,coil2000_insurance_policies,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5630S,,Other unresolved
combined_source_review__provisionally_eligible.csv,363627,46919,credit_card_clients_default,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C55S3H,,Other unresolved
combined_source_review__provisionally_eligible.csv,363630,46922,Diabetes130US,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5230J,,Other unresolved
combined_source_review__provisionally_eligible.csv,363674,46930,hazelnut-spread-contaminant-detection,eligible,permissive_cc_by_sa,https://www.openml.org/d/45538,,Other unresolved
combined_source_review__provisionally_eligible.csv,363679,46935,HR_Analytics_Job_Change_of_Data_Scientists,eligible,permissive_cc0,https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,,Other unresolved
combined_source_review__provisionally_eligible.csv,363682,46938,Is-this-a-good-customer,eligible,permissive_cc0,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,,Other unresolved
combined_source_review__provisionally_eligible.csv,363685,46941,maternal_health_risk,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5DP5D,,Other unresolved
combined_source_review__provisionally_eligible.csv,363689,46969,NATICUSdroid,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5FS64,,Other unresolved
combined_source_review__provisionally_eligible.csv,363691,46947,online_shoppers_intention,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5F88Q,,Other unresolved
combined_source_review__provisionally_eligible.csv,363694,46950,polish_companies_bankruptcy,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5F600,,Other unresolved
combined_source_review__provisionally_eligible.csv,363704,46960,students_dropout_and_academic_success,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5MC89,,Other unresolved
combined_source_review__provisionally_eligible.csv,363706,46962,taiwanese_bankruptcy_prediction,eligible,permissive_cc_by_4_0,https://doi.org/10.24432/C5004D,,Other unresolved
combined_source_review__provisionally_eligible.csv,37,37,diabetes,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/pima+indians+diabetes,,Other unresolved
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,3886,1023,soybean,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/90/soybean+large,"The 683-row OpenML version combines the canonical train/test case files, retains the 35 diagnostic attributes, replaces rather than exposes the original class, and inherits UCI CC BY 4.0.",Other unresolved
combined_source_review__provisionally_eligible.csv,45,46,splice,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/69/molecular+biology+splice+junction+gene+sequences,,Other unresolved
combined_source_review__provisionally_eligible.csv,49,50,tic-tac-toe,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,,Other unresolved
combined_source_review__provisionally_eligible.csv,7592,1590,adult,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/ml/datasets/adult,,Other unresolved
openml_active_classification_pool__source_review__source_license_independence_review.csv,9892,1568,nursery,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/76/nursery,Four-class OpenML version traces to the UCI hierarchical-decision-model records and contains no resampling.,Other unresolved
combined_source_review__provisionally_eligible.csv,9957,1494,qsar-biodeg,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/254/qsar+biodegradation,,Other unresolved
combined_source_review__provisionally_eligible.csv,9971,1480,ilpd,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/225/ilpd+indian+liver+patient+dataset,,Other unresolved
combined_source_review__provisionally_eligible.csv,9976,1485,madelon,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/171/madelon,,Other unresolved
combined_source_review__provisionally_eligible.csv,9985,1475,first-order-theorem-proving,eligible,permissive_cc_by_4_0,https://archive.ics.uci.edu/dataset/249/first+order+theorem+proving,,Other unresolved
openml_active_classification_pool__followup_source_review__followup_candidate_review.csv,362405,43893,ibm-employee-attrition,eligible,passed_with_preregistered_identifier_sanction,https://github.com/IBM/employee-attrition-aif360,One synthetic employee per row; IBM archives the dataset workflow and its ODbL/DbCL licence. Identifier and constants must be dropped before splitting.,Provenance/license
openml_active_classification_pool__source_review__source_license_independence_review.csv,362103,46298,electrical_grid_stability_simulated_classification,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/471/electrical+grid+stability+simulated+data,Each row is a separately evaluated input-value set for the fixed four-node system; target is the documented stability label.,Target/identifier leakage
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,362416,43925,eucalyptus,eligible,passed_all_gates,https://rdrr.io/rforge/AppliedPredictiveModeling/man/jobScheduling.html,"The source defines 4,331 independent computational jobs with seven pre-execution attributes and one execution-class target.",Target/identifier leakage
openml_active_classification_pool__source_review__source_license_independence_review.csv,9900,1557,abalone,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/1/abalone,OpenML uses a deterministic three-class version of the UCI Rings target; physical specimen records remain unchanged.,Target/identifier leakage
expanded_candidate_source_review__candidate_source_license_independence_review.csv,58,60,waveform-5000,eligible,passed_all_gates,https://archive.ics.uci.edu/dataset/108/waveform+database+generator+version+2,"UCI classifies this as Multivariate/Data-Generator, not a longitudinal sample collection.",Temporal dependence
expanded_candidate_source_review__candidate_source_license_independence_review.csv,125923,40509,Australian,excluded,duplicate_prior_source,https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval,Same underlying Australian Credit Approval source already represented by prior eligible credit-approval.,Duplicate/source overlap
openml_active_classification_pool__remaining_domain_round3__final_candidate_review.csv,146818,40981,Australian,excluded,duplicate_approved_credit_application_source,https://archive.ics.uci.edu/dataset/143/statlog+australian+credit+approval,The OpenML description explicitly states that this is derived from already approved credit-approval task 29; imputation provenance is also unclear.,Duplicate/source overlap
expanded_candidate_source_review__candidate_source_license_independence_review.csv,189922,41158,gina,excluded,duplicate_source,https://automl.chalearn.org/data,Same GINA source family as task 3891; additionally image-derived.,Duplicate/source overlap
expanded_candidate_source_review__candidate_source_license_independence_review.csv,190411,41156,ada,excluded,duplicate_source,https://automl.chalearn.org/data,Same ADA source family as task 3896; the representative remains blocked.,Duplicate/source overlap
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3493,334,monks-problems-2,excluded,duplicate_source,https://archive.ics.uci.edu/dataset/70/monk+s+problems,MONK-2 is one of three artificial problems over the same attribute space; MONK-1 represents the domain.,Duplicate/source overlap
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3494,335,monks-problems-3,excluded,duplicate_source,https://archive.ics.uci.edu/dataset/70/monk+s+problems,MONK-3 is one of three artificial problems over the same attribute space; MONK-1 represents the domain.,Duplicate/source overlap
openml_active_classification_pool__remaining_domain_round2__final_candidate_review.csv,362569,44232,UCI_churn,excluded,duplicate_approved_source_domain,https://modeldata.tidymodels.org/reference/mlc_churn.html,"This is the same MLC++ churn source already represented by approved task 363623, so it cannot add a new source domain.",Duplicate/source overlap
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363654,46948,PhishingWebsites,excluded,duplicate_feature_rows_without_group_ids,https://archive.ics.uci.edu/dataset/327/phishing+websites,TabArena metadata reports 47% duplicate feature rows.,Duplicate/source overlap
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363669,46963,website_phishing,excluded,duplicate_feature_rows_without_group_ids,https://archive.ics.uci.edu/dataset/379/website+phishing,TabArena metadata reports about 50% duplicate feature rows.,Duplicate/source overlap
openml_active_classification_pool__source_review__source_license_independence_review.csv,146817,40982,steel-plates-fault,excluded,image_origin,,Steel fault features include image-region/luminosity measurements; previously reviewed.,Image/text-derived
expanded_candidate_source_review__candidate_source_license_independence_review.csv,14964,1459,artificial-characters,excluded,image_origin,https://archive.ics.uci.edu/dataset/6/artificial+characters,Artificial character structures were produced from segmented images.,Image/text-derived
expanded_candidate_source_review__candidate_source_license_independence_review.csv,3485,312,scene,excluded,image_origin,https://www.rose-hulman.edu/~boutell/publications/boutell04PRmultilabel.pdf,Features originate from scene images; the source also describes mirrored image variants.,Image/text-derived
expanded_candidate_source_review__candidate_source_license_independence_review.csv,359975,40900,Satellite,excluded,image_origin,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/OPQMVF,The canonical source is explicitly satellite imagery-derived.,Image/text-derived
openml_active_classification_pool__source_review__source_license_independence_review.csv,361660,45557,Mammographic-Mass-Data-Set,excluded,image_origin,,BI-RADS mass attributes originate from mammograms.,Image/text-derived
openml_active_classification_pool__deep_source_review__candidate_source_license_independence_review.csv,363365,46652,news_channel,excluded,text_origin,https://archive.ics.uci.edu/dataset/332/online+news+popularity,Article text/title-derived task; outside the preregistered native-tabular origin gate.,Image/text-derived
openml_active_classification_pool__remaining_domain_round4__final_candidate_review.csv,363536,46819,WBCAtt,excluded,image_origin_and_nonindependent_units,,"WBCAtt consists of image annotations, not native tabular measurements; image/cell grouping cannot support the fixed IID protocol.",Image/text-derived
