dataset_id,dataset_name,model,defect_pair,process,severity,domain_interaction,candidate_key
1475,first-order-theorem-proving,extra_trees,missing+label_flip,independent,0.10+0.10,0.012279598330582639,extra_trees | missing+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.00701058201058206,extra_trees | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.004894179894179877,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,0.0023809523809523725,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,0.0015873015873015817,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
1494,qsar-biodeg,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,0.00714285714285708,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,-0.03703703703703709,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,-0.004761904761904782,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.30+0.30,-0.01613756613756619,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.30+0.30
1494,qsar-biodeg,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.020899470899470973,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.009656084656084548,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,regularized_logistic,missing+label_flip,independent,0.10+0.10,-0.004365079365079312,regularized_logistic | missing+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,regularized_logistic,missing+label_flip,independent,0.30+0.30,0.009788359788359827,regularized_logistic | missing+label_flip | independent | 0.30+0.30
1494,qsar-biodeg,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,-0.00925925925925919,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,-0.004100529100529049,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
1494,qsar-biodeg,regularized_logistic,numeric_outlier+label_flip,independent,0.10+0.10,-0.011375661375661372,regularized_logistic | numeric_outlier+label_flip | independent | 0.10+0.10
1494,qsar-biodeg,regularized_logistic,numeric_outlier+label_flip,independent,0.30+0.30,-0.011375661375661372,regularized_logistic | numeric_outlier+label_flip | independent | 0.30+0.30
1494,qsar-biodeg,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.005026455026455083,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1494,qsar-biodeg,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.01164021164021171,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1557,abalone,extra_trees,categorical_inconsistency+missing,independent,0.10+0.10,0.00714345707008938,extra_trees | categorical_inconsistency+missing | independent | 0.10+0.10
1557,abalone,extra_trees,categorical_inconsistency+missing,independent,0.30+0.30,0.025577615232787527,extra_trees | categorical_inconsistency+missing | independent | 0.30+0.30
1557,abalone,extra_trees,categorical_inconsistency+missing,shared_latent,0.10+0.10,-0.0012856617038569478,extra_trees | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1557,abalone,extra_trees,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.011256240566585363,extra_trees | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1557,abalone,extra_trees,missing+label_flip,independent,0.10+0.10,0.007543767338338096,extra_trees | missing+label_flip | independent | 0.10+0.10
1557,abalone,extra_trees,missing+label_flip,independent,0.30+0.30,0.011568485046107857,extra_trees | missing+label_flip | independent | 0.30+0.30
1557,abalone,extra_trees,missing+label_flip,shared_latent,0.10+0.10,0.013318437493052207,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
1557,abalone,extra_trees,missing+label_flip,shared_latent,0.30+0.30,0.02966878370400002,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
1557,abalone,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,0.011990533854070118,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10
1557,abalone,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,0.02445437500463173,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30
1557,abalone,extra_trees,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.013901796146843726,extra_trees | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1557,abalone,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.02503773365842314,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1557,abalone,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.10+0.10,0.0048880835748040434,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.10+0.10
1557,abalone,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.30+0.30,-0.009733801700052594,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.30+0.30
1557,abalone,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.10+0.10,-0.0005181430346508457,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1557,abalone,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.30+0.30,-0.011515867898846658,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1557,abalone,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,0.005947343328120969,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
1557,abalone,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,-0.00715358525336518,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
1557,abalone,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,-0.016890104270882073,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
1557,abalone,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,0.00519131150092252,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
1557,abalone,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,-0.012702965087411236,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10
1557,abalone,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.30+0.30,-0.0226749026088718,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.30+0.30
1557,abalone,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.024401881371800733,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1557,abalone,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.00784576012015481,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1557,abalone,regularized_logistic,categorical_inconsistency+missing,independent,0.10+0.10,-0.0049430474962389725,regularized_logistic | categorical_inconsistency+missing | independent | 0.10+0.10
1557,abalone,regularized_logistic,categorical_inconsistency+missing,independent,0.30+0.30,0.002838732149076928,regularized_logistic | categorical_inconsistency+missing | independent | 0.30+0.30
1557,abalone,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.10+0.10,-0.0026441969215263983,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1557,abalone,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.30+0.30,-0.0009824337777382859,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1557,abalone,regularized_logistic,missing+label_flip,independent,0.10+0.10,0.00454273722799033,regularized_logistic | missing+label_flip | independent | 0.10+0.10
1557,abalone,regularized_logistic,missing+label_flip,independent,0.30+0.30,-0.003940110323089126,regularized_logistic | missing+label_flip | independent | 0.30+0.30
1557,abalone,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,-0.0004425522033739693,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
1557,abalone,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,0.004339308961466022,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
1557,abalone,regularized_logistic,numeric_outlier+label_flip,independent,0.10+0.10,0.006433496125352341,regularized_logistic | numeric_outlier+label_flip | independent | 0.10+0.10
1557,abalone,regularized_logistic,numeric_outlier+label_flip,independent,0.30+0.30,0.02726371071932332,regularized_logistic | numeric_outlier+label_flip | independent | 0.30+0.30
1557,abalone,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.10+0.10,0.007675680749781977,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1557,abalone,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.014755157345032596,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1590,adult,extra_trees,categorical_inconsistency+missing,independent,0.10+0.10,-2.0794947088768428e-05,extra_trees | categorical_inconsistency+missing | independent | 0.10+0.10
1590,adult,extra_trees,categorical_inconsistency+missing,independent,0.30+0.30,0.002292431897699306,extra_trees | categorical_inconsistency+missing | independent | 0.30+0.30
1590,adult,extra_trees,categorical_inconsistency+missing,shared_latent,0.10+0.10,-0.0025951096423176465,extra_trees | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1590,adult,extra_trees,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.004728932109639095,extra_trees | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1590,adult,extra_trees,missing+label_flip,independent,0.10+0.10,-0.001813342406375984,extra_trees | missing+label_flip | independent | 0.10+0.10
1590,adult,extra_trees,missing+label_flip,independent,0.30+0.30,-0.0020601577101064064,extra_trees | missing+label_flip | independent | 0.30+0.30
1590,adult,extra_trees,missing+label_flip,shared_latent,0.10+0.10,-0.002297189413269507,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
1590,adult,extra_trees,missing+label_flip,shared_latent,0.30+0.30,-0.002686576715859331,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
1590,adult,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,-0.001784528743527895,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10
1590,adult,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,0.0052110142317241355,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30
1590,adult,extra_trees,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.0035482625399669843,extra_trees | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1590,adult,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.0014209624730241825,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1590,adult,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.10+0.10,0.0008955255719531596,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.10+0.10
1590,adult,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.30+0.30,0.003348063215411442,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.30+0.30
1590,adult,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.10+0.10,0.001531459608846301,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1590,adult,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.001742938849350358,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1590,adult,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,0.0010541350023311653,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
1590,adult,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,-0.0029108321876929097,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
1590,adult,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,0.0021546174144100316,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
1590,adult,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,0.001174147169293575,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
1590,adult,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.10+0.10,0.00328717468952607,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.10+0.10
1590,adult,hist_gradient_boosting,numeric_outlier+label_flip,independent,0.30+0.30,0.0012510731266976254,hist_gradient_boosting | numeric_outlier+label_flip | independent | 0.30+0.30
1590,adult,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.0007978046674602668,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1590,adult,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,-0.008772321572447894,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30
1590,adult,regularized_logistic,categorical_inconsistency+missing,independent,0.10+0.10,0.0007577110886638113,regularized_logistic | categorical_inconsistency+missing | independent | 0.10+0.10
1590,adult,regularized_logistic,categorical_inconsistency+missing,independent,0.30+0.30,-0.00018742309322609488,regularized_logistic | categorical_inconsistency+missing | independent | 0.30+0.30
1590,adult,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.10+0.10,-0.0008025621830304308,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.10+0.10
1590,adult,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.0009531528976493379,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.30+0.30
1590,adult,regularized_logistic,missing+label_flip,independent,0.10+0.10,-0.00070484127853776,regularized_logistic | missing+label_flip | independent | 0.10+0.10
1590,adult,regularized_logistic,missing+label_flip,independent,0.30+0.30,0.0013969063257461094,regularized_logistic | missing+label_flip | independent | 0.30+0.30
1590,adult,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,-0.0012991854212534755,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
1590,adult,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,-0.00972547447009712,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
1590,adult,regularized_logistic,numeric_outlier+label_flip,independent,0.10+0.10,-0.0037692568116112954,regularized_logistic | numeric_outlier+label_flip | independent | 0.10+0.10
1590,adult,regularized_logistic,numeric_outlier+label_flip,independent,0.30+0.30,0.010302016296485935,regularized_logistic | numeric_outlier+label_flip | independent | 0.30+0.30
1590,adult,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.10+0.10,-0.000559008079489165,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.10+0.10
1590,adult,regularized_logistic,numeric_outlier+label_flip,shared_latent,0.30+0.30,0.00968211969111136,regularized_logistic | numeric_outlier+label_flip | shared_latent | 0.30+0.30
24,mushroom,extra_trees,categorical_inconsistency+missing,independent,0.10+0.10,0.0,extra_trees | categorical_inconsistency+missing | independent | 0.10+0.10
24,mushroom,extra_trees,categorical_inconsistency+missing,independent,0.30+0.30,0.0,extra_trees | categorical_inconsistency+missing | independent | 0.30+0.30
24,mushroom,extra_trees,categorical_inconsistency+missing,shared_latent,0.10+0.10,0.0,extra_trees | categorical_inconsistency+missing | shared_latent | 0.10+0.10
24,mushroom,extra_trees,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.0,extra_trees | categorical_inconsistency+missing | shared_latent | 0.30+0.30
24,mushroom,extra_trees,missing+label_flip,independent,0.10+0.10,0.0,extra_trees | missing+label_flip | independent | 0.10+0.10
24,mushroom,extra_trees,missing+label_flip,independent,0.30+0.30,0.018312610079661302,extra_trees | missing+label_flip | independent | 0.30+0.30
24,mushroom,extra_trees,missing+label_flip,shared_latent,0.10+0.10,0.0,extra_trees | missing+label_flip | shared_latent | 0.10+0.10
24,mushroom,extra_trees,missing+label_flip,shared_latent,0.30+0.30,0.021596821626512813,extra_trees | missing+label_flip | shared_latent | 0.30+0.30
24,mushroom,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.10+0.10,0.0,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.10+0.10
24,mushroom,hist_gradient_boosting,categorical_inconsistency+missing,independent,0.30+0.30,0.0,hist_gradient_boosting | categorical_inconsistency+missing | independent | 0.30+0.30
24,mushroom,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.10+0.10,0.0,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.10+0.10
24,mushroom,hist_gradient_boosting,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.0,hist_gradient_boosting | categorical_inconsistency+missing | shared_latent | 0.30+0.30
24,mushroom,hist_gradient_boosting,missing+label_flip,independent,0.10+0.10,-0.0004251700680271882,hist_gradient_boosting | missing+label_flip | independent | 0.10+0.10
24,mushroom,hist_gradient_boosting,missing+label_flip,independent,0.30+0.30,0.0003665955693441525,hist_gradient_boosting | missing+label_flip | independent | 0.30+0.30
24,mushroom,hist_gradient_boosting,missing+label_flip,shared_latent,0.10+0.10,-3.700743415417188e-17,hist_gradient_boosting | missing+label_flip | shared_latent | 0.10+0.10
24,mushroom,hist_gradient_boosting,missing+label_flip,shared_latent,0.30+0.30,0.004647583498957812,hist_gradient_boosting | missing+label_flip | shared_latent | 0.30+0.30
24,mushroom,regularized_logistic,categorical_inconsistency+missing,independent,0.10+0.10,0.0,regularized_logistic | categorical_inconsistency+missing | independent | 0.10+0.10
24,mushroom,regularized_logistic,categorical_inconsistency+missing,independent,0.30+0.30,0.0,regularized_logistic | categorical_inconsistency+missing | independent | 0.30+0.30
24,mushroom,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.10+0.10,0.0,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.10+0.10
24,mushroom,regularized_logistic,categorical_inconsistency+missing,shared_latent,0.30+0.30,0.0,regularized_logistic | categorical_inconsistency+missing | shared_latent | 0.30+0.30
24,mushroom,regularized_logistic,missing+label_flip,independent,0.10+0.10,0.0004251700680271882,regularized_logistic | missing+label_flip | independent | 0.10+0.10
24,mushroom,regularized_logistic,missing+label_flip,independent,0.30+0.30,-0.0007624783880298228,regularized_logistic | missing+label_flip | independent | 0.30+0.30
24,mushroom,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,0.0,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10
24,mushroom,regularized_logistic,missing+label_flip,shared_latent,0.30+0.30,0.00039588281868559633,regularized_logistic | missing+label_flip | shared_latent | 0.30+0.30
