repetition,model,defect_pair,process,severity,candidate_key,training_n,training_mean,training_sd,training_se,selection_score,direction,holdout_n,holdout_mean,holdout_positive_proportion,selection_optimism
1,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.015235701259203581,0.0211562229327885,0.005289055733197125,2.8806089456716526,1,4,0.019053778545758467,1.0,-0.0038180772865548853
47,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.017270382126757248,0.019953223193802088,0.005534028410463906,3.120761377751855,1,7,0.013638766668920993,0.7142857142857143,0.0036316154578362545
48,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.02173221419093859,0.022866287951457072,0.006341967206807915,3.4267307733174177,1,7,0.005352507121155641,0.8571428571428571,0.01637970706978295
49,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.02048299238789211,0.02230588672456374,0.0059614989879647655,3.435879537888663,1,6,0.005537406816633602,0.8333333333333334,0.014945585571258507
50,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.018508835850193004,0.022877383134316965,0.006114237828183904,3.027169758571631,1,6,0.010143772071264852,0.8333333333333334,0.008365063778928152
51,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01508857242777478,0.01726038211529436,0.004613031160016569,3.2708585536024404,1,6,0.018124386723574044,0.8333333333333334,-0.003035814295799263
52,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.018474858425245884,0.02084698133714138,0.005382667435829693,3.432286806773181,1,5,0.008572691590320574,0.6,0.00990216683492531
53,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01306495147517174,0.01727842615983287,0.0046178536337690545,2.8292259805792574,1,6,0.02284616894631446,1.0,-0.00978121747114272
54,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.013493606832239238,0.016996247316031925,0.004542438165533402,2.970564780523486,1,6,0.021845973113156978,1.0,-0.00835236628091774
55,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.013263362553484493,0.01386159758398566,0.003844515449916004,3.449943881425753,1,7,-0.007563736589749668,0.5714285714285714,0.020827099143234162
56,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.01665782733984913,0.019636870412020058,0.005248174373589822,3.1740232229469454,1,6,0.014462791928733886,0.8333333333333334,0.0021950354111152457
57,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.015309771405704229,0.015580677285917938,0.004321302373910325,3.542860480705147,1,7,0.017279900865162314,0.8571428571428571,-0.0019701294594580854
58,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.01730087566298192,0.021682138461148016,0.005420534615287004,3.19172865609786,1,4,0.010793080930645108,0.75,0.006507794732336812
59,regularized_logistic,missing+label_flip,shared_latent,0.10+0.10,regularized_logistic | missing+label_flip | shared_latent | 0.10+0.10,18,-0.005266426786679362,0.006981867676631066,0.001645641993164331,3.20022629986051,-1,8,-0.002726631566975303,0.375,0.007993058353654665
60,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,12,0.007456495556376901,0.008778344745281597,0.0025340898508638336,2.9424748115522,1,8,0.028813548456721044,1.0,-0.021357052900344144
61,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.02209623073421837,0.02237435151444514,0.006205528587737486,3.5607330498616845,1,7,0.004676476397921763,0.7142857142857143,0.017419754336296608
62,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.010030534748491136,0.011137500113196048,0.00308898674912418,3.247192546661164,1,7,0.02708419751427234,1.0,-0.017053662765781206
63,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.015470013849584229,0.01726452005240641,0.00478831633040212,3.230783595344685,1,7,0.01698230775509946,1.0,-0.0015122939055152319
64,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.01705968470491294,0.02180837622661506,0.005630898528900392,3.029655856406344,1,5,0.012818212751319415,1.0,0.004241471953593524
65,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.0143772535459915,0.017187067655236293,0.004593437046371311,3.129955499738292,1,6,0.019784130781068363,1.0,-0.005406877235076863
66,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,13,0.011882211930290333,0.014190203415265112,0.003935654309461738,3.0191198199811944,1,7,-0.004998742575246233,0.7142857142857143,0.016880954505536568
67,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.01697412195319359,0.022585516282820038,0.0058315552285905636,2.910736722508257,1,5,0.013074901006477475,1.0,0.0038992209467161136
68,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,12,0.02318886045766808,0.023043306791621334,0.0066520296895808545,3.4859827059985977,1,8,0.005215001104784275,0.75,0.017973859352883804
69,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.01572941936454856,0.02033002258013758,0.005638533757232828,2.7896293685165316,1,7,0.016500554655879986,0.8571428571428571,-0.0007711352913314269
70,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.012064851451387667,0.01245163827540009,0.0034534630973450018,3.4935515774478785,1,7,0.023306180780321643,1.0,-0.011241329328933977
71,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,12,0.018511514266785392,0.02330927174844246,0.006728807159288697,2.7510840820027673,1,8,0.012231020391108311,0.875,0.006280493875677081
72,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.0191082126467948,0.02212796700176837,0.005713416512218411,3.3444459380706775,1,5,0.006672628925673825,0.8,0.012435583721120975
73,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,16,0.018869557670440677,0.02133499474467026,0.005333748686167565,3.537766546702248,1,4,0.004518352900810077,0.75,0.0143512047696306
74,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.01583943402705249,0.01697031280392515,0.0047067179211703995,3.3652821971353166,1,7,0.01629624171122982,0.7142857142857143,-0.0004568076841773294
75,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.009314185114465974,0.011294925338653304,0.0031326486508501503,2.9732619749547253,1,7,0.02841456112031907,0.8571428571428571,-0.019100376005853095
76,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.013531205313692072,0.017429106769343512,0.004833964472492658,2.799194199851998,1,7,0.020582952178899182,1.0,-0.00705174686520711
77,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.014523382475215242,0.017470831723773898,0.004669276183738794,3.1104140992546823,1,6,0.019443163279546302,1.0,-0.00491978080433106
78,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.027270197072941076,0.02946515382965939,0.007874893605655396,3.4629289535234915,1,6,-0.0030241242556558715,0.16666666666666666,0.030294321328596947
79,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,15,0.023267903789844623,0.0309575833580467,0.00799321365230285,2.9109573197935386,1,5,0.0029238913279141,0.4,0.020344012461930523
80,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.014222922546800758,0.018219197918633964,0.004704176674675078,3.0234669168294257,1,5,0.021328499225655967,0.8,-0.007105576678855209
81,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.015178209360138974,0.016804722010319247,0.004491250874470975,3.379506018337668,1,6,0.01791523388139092,0.8333333333333334,-0.002737024521251947
82,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.020147023753498736,0.023136581630682437,0.00641693318526029,3.1396655024827895,1,7,0.008296432219258226,0.7142857142857143,0.01185059153424051
83,extra_trees,missing+label_flip,shared_latent,0.30+0.30,extra_trees | missing+label_flip | shared_latent | 0.30+0.30,18,0.014040549332624426,0.021136689093623443,0.004981965396644293,2.818275161461726,1,8,-0.00635164412193756,0.5,0.020392193454561985
84,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.019102965187399384,0.0227971521375509,0.006092795192348333,3.13533683380494,1,6,0.00875747028444996,0.8333333333333334,0.010345494902949424
85,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.008577249844465269,0.012280958279840548,0.003282224161744856,2.6132431612792515,1,6,-0.0001006567925771774,0.5,0.008677906637042446
86,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.016465918808225143,0.019789762900703875,0.00528903660999454,3.1132170227579765,1,6,0.014910578502523204,1.0,0.0015553403057019383
87,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,12,0.016259987763244447,0.013568374722275836,0.003916852399185834,4.151289378845188,1,8,-0.00945528701148533,0.375,0.025715274774729777
88,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.015140694566070308,0.0193505843831194,0.004996299403680184,3.030381757129676,1,5,0.018575183167847308,1.0,-0.003434488601776999
89,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,15,0.014716975937837332,0.016369066566021908,0.004226474813544232,3.4820924262165396,1,5,0.019846339052546246,0.8,-0.005129363114708914
90,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.017496655892402794,0.02239203199731589,0.005984522280545389,2.923651224305955,1,6,0.012505525306108682,0.8333333333333334,0.004991130586294112
91,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.020380510194557874,0.023007407383303178,0.006381106695076029,3.1938833134202977,1,7,0.007862814543005537,0.7142857142857143,0.012517695651552337
92,regularized_logistic,categorical_inconsistency+missing,independent,0.30+0.30,regularized_logistic | categorical_inconsistency+missing | independent | 0.30+0.30,13,-0.011448164990070776,0.017063516592368645,0.0047325680010396705,2.4190175371079286,-1,4,-0.0010051553254933714,0.25,0.012453320315564146
93,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.019405939752629272,0.022583486968365513,0.006035690773878419,3.215197809108333,1,6,0.008050529632246882,0.8333333333333334,0.01135541012038239
94,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,14,0.011653428679737511,0.01588787369094922,0.004246212853990823,2.7444287605094932,1,6,0.026139722135661004,1.0,-0.014486293455923492
95,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,15,0.012728393336855518,0.01432280813659761,0.0036981331589311084,3.441842894736239,1,5,-0.014289668597156404,0.6,0.027018061934011923
96,hist_gradient_boosting,numeric_outlier+label_flip,shared_latent,0.30+0.30,hist_gradient_boosting | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.023910909553187892,0.03201228323160278,0.008555642572930438,2.794753211037665,1,6,0.004814213290434904,0.6666666666666666,0.01909669626275299
97,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.011688630591537755,0.013970463213158174,0.0037337633484404924,3.1305226123717316,1,6,-0.0073605452024129705,0.6666666666666666,0.019049175793950726
98,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.013798234231639069,0.02083025475498259,0.005777273200005178,2.388364502413821,1,7,0.020087041331283334,1.0,-0.0062888070996442655
99,extra_trees,numeric_outlier+label_flip,independent,0.10+0.10,extra_trees | numeric_outlier+label_flip | independent | 0.10+0.10,13,0.008100806953722022,0.008350188194842378,0.0023159255150983294,3.4978702470826564,1,7,-0.009844494962396755,0.14285714285714285,0.017945301916118775
100,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.009145520562791335,0.008529252354404646,0.002365588977321377,3.8660649210274327,1,7,0.02872779528771483,0.7142857142857143,-0.019582274724923496
101,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.010655379814091611,0.011604783583720232,0.0032185878655204654,3.3105760225590646,1,7,0.02592377096387146,1.0,-0.01526839114977985
102,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.01070600962398977,0.013729648181513333,0.0036694028240119125,2.9176435887418974,1,6,-0.0050677629448010126,0.5,0.015773772568790784
103,extra_trees,numeric_outlier+label_flip,independent,0.30+0.30,extra_trees | numeric_outlier+label_flip | independent | 0.30+0.30,13,0.019290179920670787,0.022601676240486507,0.006268577122808482,3.077282059828642,1,7,0.00988771362308156,0.8571428571428571,0.009402466297589228
104,extra_trees,numeric_outlier+label_flip,shared_latent,0.30+0.30,extra_trees | numeric_outlier+label_flip | shared_latent | 0.30+0.30,14,0.009547171942105609,0.01268439889389961,0.003390048201296192,2.816234866057429,1,6,-0.002363808353737968,0.5,0.011910980295843577
