freeze_index,task_id,dataset_id,dataset_name,source_domain_key,evidence_url,approval_stage,approval_basis,required_drop_columns,selection_hash,partition
24,363630,46922,Diabetes130US,https://doi.org/10.24432/C5230J,https://doi.org/10.24432/C5230J,base,permissive_cc_by_4_0,,73d872a66f75c20312187abc047ed37805a1ab1aefce26dba8f6c0cdaeff3047,calibration
25,9900,1557,abalone,uci-abalone,https://archive.ics.uci.edu/dataset/1/abalone,active_pool,passed_all_gates,,79348ad3f5dc6d2457ea513f90161fabce485385d44e1387b5f0c93b86e27db2,calibration
26,9985,1475,first-order-theorem-proving,https://archive.ics.uci.edu/dataset/249/first+order+theorem+proving,https://archive.ics.uci.edu/dataset/249/first+order+theorem+proving,base,permissive_cc_by_4_0,,84946975b11183d34c287d2b35e557aa8d3446a5313b6e788ddf1fe6ac8bddab,calibration
27,363685,46941,maternal_health_risk,https://doi.org/10.24432/C5DP5D,https://doi.org/10.24432/C5DP5D,base,permissive_cc_by_4_0,,889b9301cfc8278e0594ee68d13a8de620a869602c6d87be15cd7627d791f1eb,calibration
28,363543,46827,QSAR_Bioconcentration_classification,uci_qsar_bioconcentration,https://archive.ics.uci.edu/dataset/510/qsar+bioconcentration+classes+dataset,deep_review,passed_all_gates,,89aa8fc8cf5a9d60f17bfe38178d4cc7058f28877424711a1e791a158a43fa12,calibration
29,363691,46947,online_shoppers_intention,https://doi.org/10.24432/C5F88Q,https://doi.org/10.24432/C5F88Q,base,permissive_cc_by_4_0,,8de67b298412e1eb406a58177c352c98b05adb51651e94c7c31ffcbaa68bc1ae,calibration
30,29,29,credit-approval,https://archive.ics.uci.edu/ml/datasets/credit+approval,https://archive.ics.uci.edu/ml/datasets/credit+approval,base,permissive_cc_by_4_0,,931fa3055e6520aae0622e1f9dada96b44a23c88ee1e160ed6b76e323e6610d4,calibration
31,49,50,tic-tac-toe,https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,https://archive.ics.uci.edu/ml/datasets/Tic-Tac-Toe+Endgame,base,permissive_cc_by_4_0,,95670318e11316fd4a315fd28ef82842b8cc8f9f44cc3f41695a4efe90bd4363,calibration
32,3492,333,monks-problems-1,uci-monks-problems,https://archive.ics.uci.edu/dataset/70/monk+s+problems,expanded,passed_all_gates,,99dd66eb259ab5be5f6b629d68dc7e5518d700d8e1da347e0bf074534d2b90cd,calibration
33,362459,43980,wine,reviewed-task-362459,https://archive.ics.uci.edu/dataset/186/wine+quality,round2,passed_all_gates,,9a2ec3cb6466631c53b70a9e3f17ccc402913a6fa903ae3afd396b86cfbf0893,calibration
34,7592,1590,adult,https://archive.ics.uci.edu/ml/datasets/adult,https://archive.ics.uci.edu/ml/datasets/adult,base,permissive_cc_by_4_0,,a0dd4787cacc04c883488e3acc13e1ba45af05731bbb2efe58e965d8ab8e9ccd,calibration
35,363704,46960,students_dropout_and_academic_success,https://doi.org/10.24432/C5MC89,https://doi.org/10.24432/C5MC89,base,permissive_cc_by_4_0,,ac0101cf57f83109e8fa3ef32cce022d62f7a6eaacc0b2b35d61fa7a89a7a072,calibration
36,146819,40994,climate-model-simulation-crashes,uci_climate_model_simulation_crashes,https://archive.ics.uci.edu/dataset/252/climate+model+simulation+crashes,deep_review,passed_all_gates,,b21a5184dc7dd74cb76ff73252a0f4f5f8da571e45715e292677b8b9354cbe33,calibration
37,363674,46930,hazelnut-spread-contaminant-detection,https://www.openml.org/d/45538,https://www.openml.org/d/45538,base,permissive_cc_by_sa,,badb6783606fe73c516a8cac0754a7f217bf4f6b960bbef27974778506d4efd2,calibration
38,363441,46733,diabetes_risk_prediction_dataset,uci-early-stage-diabetes-risk,https://archive.ics.uci.edu/dataset/529/early+stage+diabetes+risk+prediction+dataset,active_pool,passed_all_gates,,c550ee9054280d4fdd3f7ff4971d944037e8c454e610dcca0268793701f4840d,test
39,10101,1464,blood-transfusion-service-center,https://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center,https://archive.ics.uci.edu/ml/datasets/Blood+Transfusion+Service+Center,base,permissive_cc_by_4_0,,cbfb1e9ba3d625839feba5ce1584988987195c568f56566fb7d461c8e523236c,test
40,363679,46935,HR_Analytics_Job_Change_of_Data_Scientists,https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists,base,permissive_cc0,,ce82f3b5a5f77b611183c8d24fdb8f27d41839344dfac612408dde95ad8aba09,test
41,363661,46955,SDSS17,sdss_dr17_stellar_objects,https://www.sdss4.org/collaboration/,deep_review,passed_all_gates,,d0446e50d959a043823cf1c17d84cbec56cb102f132b3527ac8a22512eefdb18,test
42,362416,43925,eucalyptus,reviewed-task-362416,https://rdrr.io/rforge/AppliedPredictiveModeling/man/jobScheduling.html,round2,passed_all_gates,,d3fdc1bf6590014f9f4c5ec39ced6204b9bc4956c1ea7353991ce327131641fc,test
43,362453,43974,MiniBooNE,uci-miniboone-particle-identification,https://archive.ics.uci.edu/dataset/199/miniboone+particle+identification,active_pool,passed_all_gates,,d86d03de0af26ab67a0babc951d9818e9ff4e4eb6af43bd9d7fef55961465824,test
44,3021,38,sick,https://archive.ics.uci.edu/ml/datasets/thyroid+disease,https://archive.ics.uci.edu/ml/datasets/thyroid+disease,base,permissive_cc_by_4_0,,da412d0dac4bcf27c15c4c28e5dc2a78be25939f014555dfbc7dafe7457c4daf,test
45,363616,46908,APSFailure,https://doi.org/10.24432/C5V60Q,https://doi.org/10.24432/C5V60Q,base,permissive_cc_by_4_0,,df764384fa040044c305b509265438c5fd6b130631f9895ae88cc4fe039434e4,test
46,362103,46298,electrical_grid_stability_simulated_classification,uci-electrical-grid-stability,https://archive.ics.uci.edu/dataset/471/electrical+grid+stability+simulated+data,active_pool,passed_all_gates,,e39a9f513e583e310dc923aff7195de630b81e6d1f142a07ef5511095f73be65,test
47,9892,1568,nursery,uci-nursery,https://archive.ics.uci.edu/dataset/76/nursery,active_pool,passed_all_gates,,e46190c2303f7a033f44cca4b040e9fd605462bf6f6ec9a3196beebb9434fbc3,test
48,362405,43893,ibm-employee-attrition,reviewed-task-362405,https://github.com/IBM/employee-attrition-aif360,followup,passed_with_preregistered_identifier_sanction,EmployeeNumber;EmployeeCount;Over18;StandardHours,e4c2ee10301a9349ca493c50ceeae54e4c283d8be02a59164de76fe82716abe4,test
49,363682,46938,Is-this-a-good-customer,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer,base,permissive_cc0,,e7d23e4cd2a6f1d28ff924f85b51b49b18aa4667e7172fc38222fd8c14aac8e8,test
50,363555,46846,glioma_grading_clinical_and_mutation_features,uci_tcga_glioma_grading,https://archive.ics.uci.edu/dataset/759/glioma+grading+clinical+and+mutation+features+dataset,deep_review,passed_all_gates,,e9857c1f972f0c562df3d62aea9ce8bc27ba98c5c4ccfafc8b4310425b9d9cbb,test
51,125921,40496,LED-display-domain-7digit,uci-led-display-domain,https://archive.ics.uci.edu/dataset/57/led+display+domain,expanded,passed_all_gates,,e9ed428aa10b37109d6956348c63de752ced07ddbb35388cbc740cb44aa6ef3c,test
52,31,31,credit-g,https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data),https://archive.ics.uci.edu/ml/datasets/statlog+(german+credit+data),base,permissive_cc_by_4_0,,f3a2e9d3ab2700d8fabde9e972a2387ba3ae6dc8240531aeb3480be5570d1ee5,test
53,11,11,balance-scale,http://archive.ics.uci.edu/ml/datasets/balance+scale,http://archive.ics.uci.edu/ml/datasets/balance+scale,base,permissive_cc_by_4_0,,f5e3ace7e0842793551e35d6e826d80653d778ee1f9056bc20763ed97a03f1c2,test
54,363694,46950,polish_companies_bankruptcy,https://doi.org/10.24432/C5F600,https://doi.org/10.24432/C5F600,base,permissive_cc_by_4_0,,f6d309af3a6acc0165cd5135ac5a0896941cb6cd56ab8fb405e8740bc8f41501,test
55,363689,46969,NATICUSdroid,https://doi.org/10.24432/C5FS64,https://doi.org/10.24432/C5FS64,base,permissive_cc_by_4_0,,ff3e0cee36883920e95d1ab1c5ffbc3f3dc6123edbe45a6678cb9150981f5b90,test
