scenario_key,block,search_width,n_cal,n_final,tau,rho,regime,signal,transfer,replications,selected_signal_candidate_mean,absolute_selection_optimism_mean,calibration_to_confirmation_gap_mean,sign_reversal_mean,naive_reject_mean,holm_reject_mean,external_reject_mean,cal_ci_cover_mean,final_ci_cover_mean,selected_signal_candidate_mcse,absolute_selection_optimism_mcse,calibration_to_confirmation_gap_mcse,sign_reversal_mcse,naive_reject_mcse,holm_reject_mcse,external_reject_mcse,cal_ci_cover_mcse,final_ci_cover_mcse
main_factorial__m12__c26__f16__tau0.015__rho0__global_null,main_factorial,12,26,16,0.015,0.0,global_null,0.0,1.0,2000,0.0665,0.005604657542521572,0.005438899691852387,0.4915,0.464,0.045,0.055,0.536,0.9545,0.005572647683202352,3.362847173353437e-05,8.911699809130968e-05,0.011181519941139357,0.01115411166805998,0.004636620442149895,0.0050990685669174045,0.011154111668059978,0.0046610876272533686
main_factorial__m12__c26__f16__tau0.015__rho0__stable_sparse_signal,main_factorial,12,26,16,0.015,0.0,stable_sparse_signal,0.005,1.0,2000,0.41,0.00452280904444745,0.004593043306162917,0.3395,0.6505,0.1455,0.178,0.6405,0.9525,0.011000477501119045,5.610070518501894e-05,9.995586806243667e-05,0.010591315450948043,0.01066450846829966,0.00788644235295568,0.008555384111695347,0.01073254251025204,0.004757435401116639
main_factorial__m12__c26__f16__tau0.03__rho0.5__attenuated_sparse_signal,main_factorial,12,26,16,0.03,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.209,0.00947555728206793,0.009766221854166864,0.453,0.36,0.045,0.062,0.714,0.9395,0.009094000793116997,8.141061496623583e-05,0.0001845879654776214,0.011133619300989661,0.010735810580222025,0.004636620442149898,0.00539375066842514,0.010107080515077988,0.0053323627076581155
main_factorial__m12__c26__f16__tau0.03__rho0.5__global_null,main_factorial,12,26,16,0.03,0.5,global_null,0.0,1.0,2000,0.0935,0.010158252004663493,0.010177558799809977,0.494,0.3305,0.044,0.0475,0.6695,0.9485,0.006511534000335003,7.324001207376257e-05,0.0001820338362682903,0.011182330806282323,0.010520941978266734,0.004587212798707982,0.004757435401116646,0.010520941978266737,0.004943287675881631
main_factorial__m12__c26__f16__tau0.03__rho0.5__stable_sparse_signal,main_factorial,12,26,16,0.03,0.5,stable_sparse_signal,0.005,1.0,2000,0.218,0.00954039363613047,0.009482249275793038,0.4375,0.381,0.0515,0.065,0.6965,0.9625,0.009234751773608213,8.068595896602095e-05,0.00018074832397384162,0.0110954237960795,0.010861790333302446,0.004943287675881631,0.005513864466114063,0.010283323799929047,0.004249223805764501
main_factorial__m12__c26__f16__tau0.03__rho0__attenuated_sparse_signal,main_factorial,12,26,16,0.03,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.1655,0.010784503896304372,0.011246188070952394,0.482,0.5155,0.059,0.053,0.565,0.9475,0.008312004554248931,7.63813651476867e-05,0.0001830658599692148,0.011175886999478508,0.011177761232603186,0.005270046175637043,0.005010793752192707,0.011088235860011432,0.0049884183022857334
main_factorial__m12__c26__f16__tau0.03__rho0__global_null,main_factorial,12,26,16,0.03,0.0,global_null,0.0,1.0,2000,0.0815,0.011152534248438675,0.011415187395648976,0.517,0.462,0.0395,0.05,0.538,0.94,0.00611944432112914,6.524338103257984e-05,0.00018506211294723262,0.01117667029931051,0.011150792352341714,0.0043565312672286865,0.004874615978769015,0.011150792352341714,0.0053116953087998945
main_factorial__m12__c26__f16__tau0.03__rho0__stable_sparse_signal,main_factorial,12,26,16,0.03,0.0,stable_sparse_signal,0.005,1.0,2000,0.1715,0.010641079803314375,0.010814808253874365,0.459,0.4855,0.0605,0.0625,0.587,0.943,0.008430860852092964,7.505552218509846e-05,0.00018679915099333326,0.011145474902641107,0.01117843252324933,0.005332362707658115,0.00541401244599444,0.01101254457739148,0.005185455088247909
main_factorial__m36__c26__f16__tau0.005__rho0.5__attenuated_sparse_signal,main_factorial,36,26,16,0.005,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.9795,8.177230478963165e-05,0.002547850364599534,0.032,1.0,0.9285,0.591,0.9365,0.955,0.003169368619886989,2.2889312527861714e-05,3.490754064591577e-05,0.003936463879414744,0.0,0.0057628534807090265,0.010996361215419847,0.0054542414114785295,0.004636620442149896
main_factorial__m36__c26__f16__tau0.005__rho0.5__global_null,main_factorial,36,26,16,0.005,0.5,global_null,0.0,1.0,2000,0.0285,0.0019691291109394855,0.001934758801442348,0.4995,0.5585,0.0395,0.052,0.4415,0.944,0.0037216663472428723,1.1435094901578732e-05,3.059966092799802e-05,0.01118313042949521,0.011106329288974724,0.004356531267228685,0.0049659168503995805,0.011106329288974722,0.005142491867889115
main_factorial__m36__c26__f16__tau0.005__rho0.5__stable_sparse_signal,main_factorial,36,26,16,0.005,0.5,stable_sparse_signal,0.005,1.0,2000,0.9815,8.984440564299752e-05,8.02246616056381e-05,0.0105,1.0,0.925,0.971,0.942,0.9495,0.0030138707185866772,2.274867499549268e-05,3.664529171213484e-05,0.0022797968630710137,0.0,0.005891082449449601,0.0037532044004604625,0.005227969570771855,0.004897639067368798
main_factorial__m36__c26__f16__tau0.005__rho0__attenuated_sparse_signal,main_factorial,36,26,16,0.005,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.9785,8.998818497819085e-05,0.002523476608222149,0.031,1.0,0.9135,0.588,0.9385,0.9525,0.003244092641792812,2.3333060698655054e-05,3.571304028790681e-05,0.003876469206217608,0.0,0.006287180554084625,0.011008569130325179,0.005373389214995315,0.004757435401116639
main_factorial__m36__c26__f16__tau0.005__rho0__global_null,main_factorial,36,26,16,0.005,0.0,global_null,0.0,1.0,2000,0.0375,0.002243111173095948,0.0022453485634903506,0.5085,0.8385,0.046,0.0445,0.1615,0.954,0.0042492238057645,1.0875437571584616e-05,2.9998820758977438e-05,0.011181519941139358,0.00823059817833349,0.004685400355171819,0.004611996341621223,0.008230598178333494,0.0046854003551718105
main_factorial__m36__c26__f16__tau0.005__rho0__stable_sparse_signal,main_factorial,36,26,16,0.005,0.0,stable_sparse_signal,0.005,1.0,2000,0.97,0.00012627932716379462,0.00011772764277063264,0.0115,0.999,0.922,0.957,0.932,0.9505,0.0038154001938616702,2.3354033476406817e-05,3.5604174227916464e-05,0.002384684121467577,0.0007069298939339518,0.005997998665721504,0.0045371569177678015,0.0056306173663252055,0.004851457855290599
main_factorial__m36__c26__f16__tau0.015__rho0.5__attenuated_sparse_signal,main_factorial,36,26,16,0.015,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.3595,0.004850376536711018,0.005799692719269173,0.428,0.6995,0.076,0.0885,0.5565,0.9485,0.010732542510252043,5.544632138941605e-05,9.313855409942987e-05,0.011066581884995414,0.01025438692587777,0.005927019890500721,0.006352483925679235,0.011111507899646291,0.004943287675881632
main_factorial__m36__c26__f16__tau0.015__rho0.5__global_null,main_factorial,36,26,16,0.015,0.5,global_null,0.0,1.0,2000,0.03,0.005917622037630888,0.006015740629319663,0.5115,0.5615,0.0385,0.054,0.4385,0.95,0.003815400193861666,3.4200401728466585e-05,9.172446962274665e-05,0.011180177690296042,0.011098218786369062,0.0043032701596615415,0.0050551733292434516,0.011098218786369064,0.004874615978769015
main_factorial__m36__c26__f16__tau0.015__rho0.5__stable_sparse_signal,main_factorial,36,26,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.3535,0.004909186563120424,0.004782383981043996,0.354,0.709,0.0845,0.164,0.5515,0.9535,0.010692335480100188,5.445670563771294e-05,9.980179565103909e-05,0.010695756149043422,0.010159286665547754,0.006220870084827853,0.008281684197466924,0.011123656901911163,0.004709561018023997
main_factorial__m36__c26__f16__tau0.015__rho0__attenuated_sparse_signal,main_factorial,36,26,16,0.015,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.2405,0.00610074796003074,0.006723291111228245,0.447,0.8985,0.092,0.0725,0.302,0.951,0.009559056584276013,5.007698315045053e-05,9.041511709277584e-05,0.011120131683767603,0.006754382713684607,0.006464433033702459,0.0057998874426296865,0.01026892036012946,0.004828162753862889
main_factorial__m36__c26__f16__tau0.015__rho0__global_null,main_factorial,36,26,16,0.015,0.0,global_null,0.0,1.0,2000,0.03,0.006717105423072954,0.006646718988030474,0.495,0.849,0.0475,0.0575,0.151,0.9455,0.0038154001938616655,3.224205748847719e-05,9.173452345439871e-05,0.011182576850283938,0.008008218639803204,0.004757435401116647,0.005206767732010675,0.008008218639803203,0.005077180702116181
main_factorial__m36__c26__f16__tau0.015__rho0__stable_sparse_signal,main_factorial,36,26,16,0.015,0.0,stable_sparse_signal,0.005,1.0,2000,0.227,0.006099371868100642,0.00603295096137728,0.4195,0.9075,0.092,0.129,0.285,0.948,0.009369065572128701,4.8659413999990095e-05,9.858416319116497e-05,0.011037245371590516,0.0064801906943945525,0.0064644330337024596,0.0074971730540184895,0.010096458252011805,0.004965916850399586
main_factorial__m36__c26__f16__tau0.03__rho0.5__attenuated_sparse_signal,main_factorial,36,26,16,0.03,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.1195,0.011607579366531685,0.011910831496784865,0.483,0.598,0.0455,0.054,0.46,0.9525,0.007255080502416785,7.514750758186049e-05,0.00017908825161419328,0.011176670299310507,0.010966226746904896,0.004661087627253368,0.005055173329243453,0.011147292544180079,0.004757435401116643
main_factorial__m36__c26__f16__tau0.03__rho0.5__global_null,main_factorial,36,26,16,0.03,0.5,global_null,0.0,1.0,2000,0.0295,0.011738426378030136,0.012232061333233624,0.537,0.5725,0.0335,0.0435,0.4275,0.9545,0.003784446593361968,6.73957173875872e-05,0.00017877400743620788,0.011152474561478372,0.011064948781886567,0.0040245463703060215,0.004562267215000732,0.011064948781886567,0.004661087627253377
main_factorial__m36__c26__f16__tau0.03__rho0.5__stable_sparse_signal,main_factorial,36,26,16,0.03,0.5,stable_sparse_signal,0.005,1.0,2000,0.107,0.011530289407874553,0.01161074752664102,0.4825,0.5875,0.0355,0.062,0.465,0.952,0.006913710993370337,7.592340576192418e-05,0.00018435272332916885,0.01117628425125419,0.011010562712487617,0.004138651860160479,0.005393750668425131,0.011155703691943023,0.004781153596660274
main_factorial__m36__c26__f16__tau0.03__rho0__attenuated_sparse_signal,main_factorial,36,26,16,0.03,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.0725,0.01315232842813691,0.013315087988933143,0.492,0.8505,0.0465,0.051,0.1955,0.9495,0.005799887442629691,6.788797242472138e-05,0.00018040673270616346,0.01118170448802993,0.007975379510667157,0.004709561018023992,0.004920529016569403,0.008870130472958315,0.004897639067368798
main_factorial__m36__c26__f16__tau0.03__rho0__global_null,main_factorial,36,26,16,0.03,0.0,global_null,0.0,1.0,2000,0.029,0.013459546657312554,0.013613102724809846,0.512,0.851,0.045,0.049,0.149,0.9485,0.0037532044004604716,6.487030446711861e-05,0.00018096849397678967,0.011179914813969911,0.007964371639232056,0.004636620442149892,0.004828162753862892,0.007964371639232056,0.004943287675881633
main_factorial__m36__c26__f16__tau0.03__rho0__stable_sparse_signal,main_factorial,36,26,16,0.03,0.0,stable_sparse_signal,0.005,1.0,2000,0.0695,0.013250258587814215,0.013418348958468955,0.5,0.831,0.05,0.0595,0.205,0.9485,0.005687798389997896,6.787227944023189e-05,0.00017510904852505318,0.011183136021064598,0.008381803344964418,0.004874615978769019,0.005290923542820096,0.009029300312430969,0.004943287675881633
main_factorial__m6__c26__f16__tau0.005__rho0.5__attenuated_sparse_signal,main_factorial,6,26,16,0.005,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.996,2.3638913811007884e-05,0.0025307351715662275,0.023,0.9995,0.987,0.6,0.952,0.9525,0.0014117352790977231,2.13449387240143e-05,3.538537183827886e-05,0.00335277803623803,0.0005000000000000001,0.0025335171905233552,0.010957190790298733,0.004781153596660265,0.004757435401116646
main_factorial__m6__c26__f16__tau0.005__rho0.5__global_null,main_factorial,6,26,16,0.005,0.5,global_null,0.0,1.0,2000,0.163,0.0014712661430642683,0.0014897040111392715,0.5185,0.2135,0.0365,0.0565,0.7865,0.9515,0.008261333113511788,1.264967509750205e-05,3.054616692893483e-05,0.011175478542788692,0.009165199148830258,0.004194361850826399,0.005164030267562551,0.009165199148830261,0.004804728682127058
main_factorial__m6__c26__f16__tau0.005__rho0.5__stable_sparse_signal,main_factorial,6,26,16,0.005,0.5,stable_sparse_signal,0.005,1.0,2000,0.9935,2.2307659990626276e-05,3.5064823449362843e-05,0.0035,0.999,0.98,0.9815,0.9415,0.9525,0.0017973564602277868,2.289271606777358e-05,3.642876690039811e-05,0.0013208888574315575,0.0007069298939339523,0.0031312780858980937,0.0030138707185866794,0.005249061947211413,0.004757435401116647
main_factorial__m6__c26__f16__tau0.005__rho0__attenuated_sparse_signal,main_factorial,6,26,16,0.005,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.9945,3.491167136656896e-05,0.0025103947299634807,0.0215,0.9965,0.9825,0.5945,0.9485,0.96,0.0016541593398342208,2.2099299375707607e-05,3.519827048431927e-05,0.0032440926417928125,0.0013208888574315568,0.002932776088929037,0.010981583336946134,0.004943287675881631,0.004382876316119499
main_factorial__m6__c26__f16__tau0.005__rho0__global_null,main_factorial,6,26,16,0.005,0.0,global_null,0.0,1.0,2000,0.175,0.001592192270932208,0.0015882260633318514,0.5,0.27,0.0525,0.044,0.73,0.953,0.008498447611529,1.2005105864151664e-05,3.0364023179407374e-05,0.011183136021064613,0.009929718004547002,0.004988418302285738,0.004587212798707983,0.009929718004547002,0.0047335719442801235
main_factorial__m6__c26__f16__tau0.005__rho0__stable_sparse_signal,main_factorial,6,26,16,0.005,0.0,stable_sparse_signal,0.005,1.0,2000,0.994,2.3613578535405345e-05,5.175315487545132e-05,0.0015,1.0,0.9805,0.978,0.9375,0.9415,0.0017272787111155324,2.2560598671896573e-05,3.610692142109963e-05,0.0008655920660521365,0.0,0.003092678018912466,0.003280759316201878,0.00541401244599444,0.005249061947211404
main_factorial__m6__c26__f16__tau0.015__rho0.5__attenuated_sparse_signal,main_factorial,6,26,16,0.015,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.6055,0.002919814769547816,0.004442372696550611,0.3585,0.475,0.1705,0.1105,0.854,0.954,0.010931359582007886,5.788888153735275e-05,9.497880138066763e-05,0.010725968403789917,0.01116914835327515,0.008411316789008865,0.007012093819242932,0.007897669693858855,0.004685400355171813
main_factorial__m6__c26__f16__tau0.015__rho0.5__global_null,main_factorial,6,26,16,0.015,0.5,global_null,0.0,1.0,2000,0.168,0.0044002939103815865,0.004454171456892204,0.506,0.2195,0.0395,0.049,0.7805,0.948,0.008361995065816545,3.836191120467285e-05,9.230237906477933e-05,0.011182330806282314,0.0092575767003672,0.004356531267228685,0.004828162753862886,0.009257576700367198,0.0049659168503995935
main_factorial__m6__c26__f16__tau0.015__rho0.5__stable_sparse_signal,main_factorial,6,26,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.591,0.0029368699682007582,0.0028470714935910258,0.248,0.4705,0.165,0.246,0.838,0.9515,0.01099636121541986,5.945416746686871e-05,0.00010457269862769167,0.0096589154320587,0.011163654804511695,0.0083019251370083,0.009632673263279433,0.008240871069127883,0.004804728682127058
main_factorial__m6__c26__f16__tau0.015__rho0__attenuated_sparse_signal,main_factorial,6,26,16,0.015,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.532,0.0033646793145434744,0.004722006130681618,0.3735,0.4855,0.186,0.107,0.816,0.9545,0.011160209457602883,5.746486100074476e-05,9.687461179652828e-05,0.010819306988058469,0.011178432523249335,0.008702865616276487,0.006913710993370334,0.008666576877717559,0.0046610876272533755
main_factorial__m6__c26__f16__tau0.015__rho0__global_null,main_factorial,6,26,16,0.015,0.0,global_null,0.0,1.0,2000,0.178,0.004818602829673218,0.004858617182401355,0.5,0.277,0.048,0.046,0.723,0.9455,0.00855538411169535,3.670837479915969e-05,9.299110001938213e-05,0.011183136021064615,0.010009275338224944,0.0047811535966602705,0.0046854003551718175,0.010009275338224944,0.005077180702116181
main_factorial__m6__c26__f16__tau0.015__rho0__stable_sparse_signal,main_factorial,6,26,16,0.015,0.0,stable_sparse_signal,0.005,1.0,2000,0.5195,0.0034097300427966336,0.003467047114977422,0.2915,0.4995,0.166,0.2015,0.7995,0.9535,0.011174628009718171,5.843365705957583e-05,0.00010179596952343235,0.010164424861564148,0.011183130429495206,0.008322056735816992,0.008971572858745563,0.008954885258058437,0.004709561018023999
main_factorial__m6__c26__f16__tau0.03__rho0.5__attenuated_sparse_signal,main_factorial,6,26,16,0.03,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.3125,0.00801625780299663,0.008701709129654785,0.4695,0.277,0.0655,0.066,0.8055,0.951,0.010367044555050544,8.840788519774881e-05,0.00018671111030678117,0.011162310405413087,0.010009275338224956,0.005533550857500659,0.005553144938623042,0.008852912629808083,0.004828162753862888
main_factorial__m6__c26__f16__tau0.03__rho0.5__global_null,main_factorial,6,26,16,0.03,0.5,global_null,0.0,1.0,2000,0.1785,0.008868150893363846,0.008477224820160336,0.4725,0.2085,0.0415,0.061,0.7915,0.9385,0.008564785623492752,7.504296890163362e-05,0.00019022326464741032,0.011166208716863314,0.009085986604452385,0.00446080983815788,0.005352926948264542,0.009085986604452385,0.005373389214995308
main_factorial__m6__c26__f16__tau0.03__rho0.5__stable_sparse_signal,main_factorial,6,26,16,0.03,0.5,stable_sparse_signal,0.005,1.0,2000,0.3215,0.007991327155420771,0.008097937354133005,0.427,0.2765,0.0705,0.0815,0.8085,0.9415,0.01044621638289957,8.674319562568082e-05,0.00018991232624700262,0.011063304133448321,0.010003694915178987,0.005725492610493568,0.006119444321129129,0.008800715953867074,0.00524906194721141
main_factorial__m6__c26__f16__tau0.03__rho0__attenuated_sparse_signal,main_factorial,6,26,16,0.03,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.287,0.008740509071380373,0.009252158014671807,0.4445,0.332,0.0715,0.064,0.7515,0.956,0.010117642182923391,8.627842903083675e-05,0.0001851372321717365,0.011114028784284706,0.010532970698519382,0.005762853480709023,0.005474210764278802,0.009665432493822833,0.004587212798707986
main_factorial__m6__c26__f16__tau0.03__rho0__global_null,main_factorial,6,26,16,0.03,0.0,global_null,0.0,1.0,2000,0.166,0.009575798270896581,0.00950387074045116,0.505,0.2665,0.0585,0.05,0.7335,0.9505,0.008322056735817002,7.448032976434374e-05,0.00017944492652536,0.01118257685028394,0.009888769836761414,0.005249061947211409,0.004874615978769018,0.009888769836761412,0.004851457855290596
main_factorial__m6__c26__f16__tau0.03__rho0__stable_sparse_signal,main_factorial,6,26,16,0.03,0.0,stable_sparse_signal,0.005,1.0,2000,0.2915,0.00881774040874092,0.009156414770128476,0.449,0.347,0.084,0.0735,0.7425,0.9475,0.010164424861564143,8.614670178274656e-05,0.00018904174658888596,0.011124809242874468,0.01064669789596963,0.0062041313350711235,0.0058366007190810195,0.009779810701065456,0.004988418302285732
main_factorial__m72__c26__f16__tau0.005__rho0.5__attenuated_sparse_signal,main_factorial,72,26,16,0.005,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.975,0.0001172790463369717,0.002549870548752677,0.0325,0.9995,0.8715,0.596,0.9425,0.956,0.003491933103368277,2.2582626716175008e-05,3.370257228130873e-05,0.003966073608738873,0.0005,0.007484776946774801,0.010975072943404825,0.005206767732010678,0.004587212798707983
main_factorial__m72__c26__f16__tau0.005__rho0.5__global_null,main_factorial,72,26,16,0.005,0.5,global_null,0.0,1.0,2000,0.0155,0.0021428952067799774,0.0021604808326265174,0.5115,0.7205,0.04,0.0455,0.2795,0.946,0.0027629136515502925,1.1348393187502939e-05,3.0149606314097245e-05,0.011180177690296037,0.010036944013122781,0.004382876316119497,0.004661087627253375,0.010036944013122781,0.005055173329243452
main_factorial__m72__c26__f16__tau0.005__rho0.5__stable_sparse_signal,main_factorial,72,26,16,0.005,0.5,stable_sparse_signal,0.005,1.0,2000,0.9675,0.00014067153419927882,0.00013002060995628433,0.019,1.0,0.867,0.955,0.9365,0.9475,0.00396607360873887,2.3403698583243403e-05,3.6607436411392427e-05,0.003053549095894896,0.0,0.007595020880227087,0.004636620442149896,0.00545424141147853,0.004988418302285734
main_factorial__m72__c26__f16__tau0.005__rho0__attenuated_sparse_signal,main_factorial,72,26,16,0.005,0.0,attenuated_sparse_signal,0.005,0.5,2000,0.97,0.00015242134878562226,0.00258401540784774,0.037,1.0,0.8905,0.575,0.933,0.946,0.0038154001938616646,2.2772728985889853e-05,3.5316906386589e-05,0.004221896754552751,0.0,0.006984215391317488,0.011056609982818242,0.005592060046868588,0.005055173329243454
main_factorial__m72__c26__f16__tau0.005__rho0__global_null,main_factorial,72,26,16,0.005,0.0,global_null,0.0,1.0,2000,0.0135,0.002441947099807019,0.002430593754890796,0.4945,0.9715,0.0455,0.044,0.0285,0.945,0.0025811249685072438,1.0679817184354743e-05,3.0239077440599458e-05,0.011182459420867551,0.0037216663472428692,0.004661087627253376,0.004587212798707985,0.0037216663472428697,0.005099068566917404
main_factorial__m72__c26__f16__tau0.005__rho0__stable_sparse_signal,main_factorial,72,26,16,0.005,0.0,stable_sparse_signal,0.005,1.0,2000,0.9665,0.00016576590198805744,0.0001419020993042619,0.018,1.0,0.881,0.9525,0.9225,0.9495,0.004024546370306022,2.373249591987586e-05,3.6744096046608423e-05,0.0029736208922129448,0.0,0.007241941926129394,0.004757435401116643,0.0059803643182242084,0.004897639067368798
main_factorial__m72__c26__f16__tau0.015__rho0.5__attenuated_sparse_signal,main_factorial,72,26,16,0.015,0.5,attenuated_sparse_signal,0.005,0.5,2000,0.2705,0.0056223372862548885,0.006479014598404694,0.456,0.822,0.0595,0.075,0.403,0.9455,0.009935503616629504,5.2288094343201496e-05,9.2734288447949e-05,0.01113975076128329,0.00855538411169536,0.0052909235428201026,0.0058910824494496,0.0109706735362474,0.005077180702116186
main_factorial__m72__c26__f16__tau0.015__rho0.5__global_null,main_factorial,72,26,16,0.015,0.5,global_null,0.0,1.0,2000,0.017,0.006385808948233779,0.0062290784770682745,0.479,0.7005,0.035,0.053,0.2995,0.9515,0.0028913110935905807,3.413989819062264e-05,9.074144927114704e-05,0.0111732681414383,0.01024462547756568,0.0041104680966998096,0.005010793752192716,0.010244625477565671,0.0048047286821270565
main_factorial__m72__c26__f16__tau0.015__rho0.5__stable_sparse_signal,main_factorial,72,26,16,0.015,0.5,stable_sparse_signal,0.005,1.0,2000,0.2855,0.0055213354988355836,0.005628263777997669,0.3875,0.7975,0.063,0.135,0.427,0.9505,0.01010177696986894,5.3254536179420154e-05,9.814913254335185e-05,0.010896386585483758,0.00898817382087802,0.005434175662652645,0.00764308238567249,0.011063304133448321,0.004851457855290596
